Term,es,nes,pval,fdr,geneset_size,matched_size,genes,ledge_genes
Dorso-ventral axis formation Homo sapiens hsa04320,-0.2818737252843943,-0.9221516176762852,0.5374149659863946,1.0,27,27,KRAS;MAPK3;ETV6;MAPK1;SPIRE1;GRB2;ETS1;NOTCH3;CPEB4;ETS2;SOS2;EGFR;MAP2K1;NOTCH2;CPEB3;PIWIL3;PIWIL1;SOS1;CPEB1;NOTCH4;FMN2;ETV7;NOTCH1;PIWIL4;CPEB2;SPIRE2;PIWIL2,CPEB1;NOTCH4;FMN2;ETV7;NOTCH1;PIWIL4;CPEB2;SPIRE2;PIWIL2
Adipocytokine signaling pathway Homo sapiens hsa04920,-0.2199396726772304,-0.9460159422789907,0.5424836601307189,1.0,70,70,SLC2A4;ACSL5;LEPR;PRKAB2;G6PC2;ADIPOR1;TNFRSF1B;SLC2A1;CPT1A;G6PC;POMC;CHUK;IRS1;ACSL4;PCK2;IRS2;TNFRSF1A;PRKAG1;PTPN11;SOCS3;RELA;PRKAG2;PPARA;CAMKK1;AKT3;AKT1;JAK2;LEP;ADIPOR2;G6PC3;NFKBIE;TRADD;MAPK9;ACSL3;RXRG;NFKBIA;CAMKK2;STAT3;ACSL1;MAPK8;AGRP;PRKAB1;RXRB;MAPK10;PRKAA2;STK11;CPT1C;PRKAG3;NFKBIB;ADIPOQ;NFKB1;ACSL6;IRS4;NPY;PCK1;RXRA;TNF;PPARGC1A;MTOR;IKBKG;CD36;ACSBG1;PRKCQ;AKT2;PRKAA1;TRAF2;IKBKB;ACSBG2;CPT1B;ACACB,NFKBIB;ADIPOQ;NFKB1;ACSL6;IRS4;NPY;PCK1;RXRA;TNF;PPARGC1A;MTOR;IKBKG;CD36;ACSBG1;PRKCQ;AKT2;PRKAA1;TRAF2;IKBKB;ACSBG2;CPT1B;ACACB
Salivary secretion Homo sapiens hsa04970,-0.26555831426504056,-0.8914550887420581,0.547945205479452,1.0,89,86,ATP1B3;CALML5;MUC7;GUCY1A2;ADCY9;ADCY2;BST1;MUC5B;PLCB1;GUCY1A3;ADRA1D;ADRB3;ATP1A3;PLCB2;ADRB1;AMY1B;PRKCB;ADRA1B;SLC4A2;PLCB3;CHRM3;PRKCG;CST1;CD38;ADCY8;DMBT1;LPO;CALM3;HTN3;VAMP2;NOS1;PRKG1;ADRB2;KCNMA1;ATP1A1;GNAS;ATP2B1;GUCY1B3;PRKACG;GNAQ;PRKCA;ATP2B2;ITPR2;PRH1;SLC9A1;AMY1A;PRKACB;ATP2B3;CALML3;ITPR3;ADCY5;PRKACA;ADCY1;CALM1;CST3;ATP1A2;CST2;PRB2;FXYD2;CST5;ADCY4;ATP2B4;LYZ;ADCY7;ITPR1;TRPV6;CALM2;SLC12A2;PRB1;ATP1B1;CAMP;ADRA1A;CST4;PRH2;PRKG2;ADCY3;ATP1B2;BEST2;CALML6;ATP1A4;AQP5;PLCB4;KCNN4;ATP1B4;RYR3;ADCY6,KCNMA1;ATP1A1;GNAS;ATP2B1;GUCY1B3;PRKACG;GNAQ;PRKCA;ATP2B2;ITPR2;PRH1;SLC9A1;AMY1A;PRKACB;ATP2B3;CALML3;ITPR3;ADCY5;PRKACA;ADCY1;CALM1;CST3;ATP1A2;CST2;PRB2;FXYD2;CST5;ADCY4;ATP2B4;LYZ;ADCY7;ITPR1;TRPV6;CALM2;SLC12A2;PRB1;ATP1B1;CAMP;ADRA1A;CST4;PRH2;PRKG2;ADCY3;ATP1B2;BEST2;CALML6;ATP1A4;AQP5;PLCB4;KCNN4;ATP1B4;RYR3;ADCY6
Pyrimidine metabolism Homo sapiens hsa00240,-0.24715345528519306,-0.8814184049497792,0.5620437956204379,1.0,105,103,POLR1E;CMPK2;NUDT2;CDA;POLR3H;DPYD;POLR3B;POLR2K;POLE4;POLR3K;DPYS;TWISTNB;ENTPD1;NT5C3A;NME2;POLR2G;TYMP;POLR3GL;UPB1;UCK2;ENTPD6;ZNRD1;POLD4;TXNRD3;POLR1B;POLE3;NME3;RRM1;NME1-NME2;UMPS;NME7;NME1;POLD2;NT5C1A;POLR3F;DCTPP1;UPP1;POLR1C;ITPA;PRIM2;POLR3D;POLR3A;POLR2L;POLR1A;RRM2B;DCK;POLR3C;PNP;POLR2J;NME6;NT5C3B;POLR3G;UPP2;POLR2B;NT5E;CMPK1;TXNRD2;NT5C1B;NME4;TK2;POLR2I;UCK1;POLR2A;POLR2J3;DCTD;DUT;POLR1D;TXNRD1;ENTPD3;RRM2;POLR2E;CANT1;CTPS1;CTPS2;NT5M;DTYMK;POLA2;POLR2J2;POLR2D;NT5C;ENTPD5;NME5;POLR2H;PRIM1;ENTPD4;NT5C2;POLA1;POLE2;UPRT;TYMS;CAD;AK9;TK1;DHODH;POLD1;POLD3;PNPT1;POLE;POLR2F;POLR2C;ENTPD8;UCKL1;POLR3E,POLR2E;CANT1;CTPS1;CTPS2;NT5M;DTYMK;POLA2;POLR2J2;POLR2D;NT5C;ENTPD5;NME5;POLR2H;PRIM1;ENTPD4;NT5C2;POLA1;POLE2;UPRT;TYMS;CAD;AK9;TK1;DHODH;POLD1;POLD3;PNPT1;POLE;POLR2F;POLR2C;ENTPD8;UCKL1;POLR3E
Glycerolipid metabolism Homo sapiens hsa00561,-0.22536399458005935,-0.9614730939424729,0.5633802816901409,1.0,59,59,ALDH9A1;ALDH1B1;MGLL;AGPAT1;ALDH2;PPAP2A;MOGAT2;AGPAT5;AKR1B1;AGPAT2;LPL;AKR1B10;GPAM;AKR1A1;DGKG;LIPC;DGAT1;GK2;DGKI;MOGAT1;DGKK;AGPAT6;PNLIPRP2;ALDH3A2;DGKA;PNPLA2;PNPLA3;DGKB;PPAP2B;DGKH;PNLIPRP3;GLA;GLYCTK;DGKZ;MBOAT2;DGAT2;DGKE;PNLIPRP1;LPIN2;PNLIP;LCLAT1;AGK;LPIN1;DGKD;DAK;GPAT2;GK;LIPG;PPAP2C;AGPAT9;MBOAT1;ALDH7A1;CEL;AGPAT3;LPIN3;LIPF;DGKQ;MOGAT3;AGPAT4,GPAT2;GK;LIPG;PPAP2C;AGPAT9;MBOAT1;ALDH7A1;CEL;AGPAT3;LPIN3;LIPF;DGKQ;MOGAT3;AGPAT4
Metabolism of xenobiotics by cytochrome P450 Homo sapiens hsa00980,0.2763987519257653,0.9334376344084208,0.5714285714285714,1.0,73,66,GSTP1;GSTA2;ADH1C;EPHX1;UGT2B7;UGT2A1;CYP2C9;ALDH3B2;UGT2B28;ADH1B;SULT2A1;UGT2B10;GSTO1;ALDH3B1;ADH4;CYP1B1;ADH7;UGT1A6;UGT2A3;HPGDS;UGT1A1;UGT1A4;AKR7A2;UGT1A10;MGST2;CYP2F1;UGT2B11;GSTA3;UGT2B15;GSTA1;MGST1;ADH5;GSTT2B;GSTK1;GSTA4;UGT2B17;DHDH;CYP2B6;CYP2A13;CYP2E1;CYP1A1;CYP2S1;CBR3;AKR1C1;ADH1A;MGST3;GSTM3;GSTM4;CYP2A6;UGT1A9;UGT2B4;GSTM1;CYP1A2;GSTO2;GSTM2;CYP3A5;AKR7A3;ALDH3A1;GSTM5;HSD11B1;ADH6;CYP3A4;CBR1;CYP2D6;GSTT2;ALDH1A3,GSTP1;GSTA2;ADH1C;EPHX1;UGT2B7;UGT2A1;CYP2C9;ALDH3B2;UGT2B28;ADH1B;SULT2A1;UGT2B10;GSTO1;ALDH3B1;ADH4;CYP1B1;ADH7;UGT1A6
Phototransduction Homo sapiens hsa04744,-0.311630011036373,-0.8992137550747485,0.5724137931034483,1.0,27,26,CALML5;PDE6G;GUCA1A;GNB1;CNGB1;GRK1;GUCA1C;RGS9;CNGA1;CALM3;SAG;RHO;GNAT2;PDE6A;RCVRN;CALML3;GRK7;GUCY2D;CALM1;GUCY2F;SLC24A1;CALM2;GUCA1B;CALML6;PDE6B;GNAT1,SAG;RHO;GNAT2;PDE6A;RCVRN;CALML3;GRK7;GUCY2D;CALM1;GUCY2F;SLC24A1;CALM2;GUCA1B;CALML6;PDE6B;GNAT1
Huntington's disease Homo sapiens hsa05016,0.23093976330552582,0.8912816360828296,0.5763888888888888,1.0,193,186,ATP5C1;ATP5O;NDUFS4;UQCRB;CYC1;NDUFA9;SLC25A5;CREB3;COX4I1;VDAC2;ATP5G2;UQCRC1;SLC25A6;UQCR10;DCTN2;COX7A2;COX7A2L;NDUFB6;ATP5J;CLTA;COX5A;NDUFB9;NDUFB5;GPX1;SDHD;UQCRC2;NDUFA6;ATP5E;PPARG;TBPL1;AP2B1;ATP5G1;PPIF;COX6A2;SOD2;ATP5A1;TGM2;NDUFS1;NDUFB10;AP2M1;NDUFC2;NDUFS6;DCTN4;POLR2K;NDUFB11;HAP1;SDHB;DNAL4;COX6A1;TFAM;COX6B1;HDAC2;NDUFS3;NDUFB8;CLTC;NDUFA2;ATP5F1;VDAC1;CREB3L2;PLCB1;CLTCL1;ATP5B;GRM5;NDUFA12;POLR2G;NDUFS5;NDUFA1;NDUFA4L2;NDUFA11;NDUFS8;CREB3L1;NDUFB3;COX7C;UQCRH;NDUFA8;PLCB2;UQCRFS1;ATP5D;COX6C;COX4I2;TAF4B;CREB5;NDUFA5;UQCRQ;DNAH14;ATP5H;NDUFB4;CYCS;NDUFB7;NDUFAB1;NDUFV3;COX8A;CLTB;SDHA;NDUFB1;POLR2L;PLCB3;GRIN1;NDUFA13;HIP1;CREB1;EP300;UQCR11;POLR2J;NDUFV1;COX5B;POLR2B;SIN3A;CREB3L3;UCP1;NDUFA3;NDUFA4;CASP8;DCTN1;AP2A2;SOD1;GRIN2B;POLR2I;RCOR1;CASP9;SDHC;GNAQ;NDUFA10;NDUFB2;POLR2A;POLR2J3;DLG4;SLC25A4;IFT57;VDAC3;COX6B2;COX7B2;SP1;NDUFA7;BAX;AP2S1;CASP3;HTT;NDUFV2;DNAI2;AP2A1;POLR2E;BBC3;TBPL2;DNAH8;ATP5G3;REST;CREBBP;POLR2J2;POLR2D;ITPR1;COX7B;NDUFC1;DNAH5;DNAH11;TBP;COX7A1;TP53;POLR2H;CREB3L4;NDUFS2;HDAC1;PPARGC1A;DNAH9;DNAL1;DNALI1;BDNF;TAF4;NDUFS7;UQCRHL;DNAH6;COX8C;SLC25A31;PLCB4;APAF1;DNAI1;DNAH12;DNAH7;NRF1;DNAH3;DNAH10;DNAH17;POLR2F;POLR2C;DNAH2;DNAH1,ATP5C1;ATP5O;NDUFS4;UQCRB;CYC1;NDUFA9;SLC25A5;CREB3;COX4I1;VDAC2;ATP5G2;UQCRC1;SLC25A6;UQCR10;DCTN2;COX7A2;COX7A2L;NDUFB6;ATP5J;CLTA;COX5A;NDUFB9;NDUFB5;GPX1;SDHD;UQCRC2;NDUFA6;ATP5E;PPARG;TBPL1;AP2B1;ATP5G1;PPIF;COX6A2;SOD2;ATP5A1;TGM2;NDUFS1;NDUFB10;AP2M1;NDUFC2;NDUFS6;DCTN4;POLR2K;NDUFB11;HAP1;SDHB;DNAL4;COX6A1;TFAM;COX6B1;HDAC2;NDUFS3;NDUFB8;CLTC;NDUFA2
NOD-like receptor signaling pathway Homo sapiens hsa04621,-0.26301937581658413,-0.8790817992527167,0.5763888888888888,1.0,57,57,RIPK2;IL18;CASP5;PYCARD;HSP90AB1;MAPK3;CHUK;MAPK1;NLRC4;TAB2;NOD1;CARD9;IL6;RELA;CASP1;NLRP3;MAPK14;ERBB2IP;TRAF6;CXCL2;PYDC1;TNFAIP3;MAPK9;CASP8;MEFV;NFKBIA;TAB1;NLRP1;MAPK8;CARD6;MAP3K7;CXCL1;HSP90B1;MAPK13;MAPK10;CCL5;NAIP;CXCL8;SUGT1;HSP90AA1;NOD2;NFKBIB;NFKB1;MAPK11;TRIP6;CARD8;CCL2;TNF;IKBKG;BIRC2;TAB3;BIRC3;PSTPIP1;MAPK12;IL1B;CARD18;IKBKB,TAB1;NLRP1;MAPK8;CARD6;MAP3K7;CXCL1;HSP90B1;MAPK13;MAPK10;CCL5;NAIP;CXCL8;SUGT1;HSP90AA1;NOD2;NFKBIB;NFKB1;MAPK11;TRIP6;CARD8;CCL2;TNF;IKBKG;BIRC2;TAB3;BIRC3;PSTPIP1;MAPK12;IL1B;CARD18;IKBKB
Proximal tubule bicarbonate reclamation Homo sapiens hsa04964,-0.3153152703332161,-0.8991197452696871,0.5782312925170068,1.0,23,23,ATP1B3;GLUD1;PCK2;AQP1;SLC4A4;ATP1A3;MDH1;SLC9A3;ATP1A1;GLS;GLUD2;SLC25A10;ATP1A2;FXYD2;GLS2;ATP1B1;PCK1;SLC38A3;CA4;ATP1B2;CA2;ATP1A4;ATP1B4,SLC25A10;ATP1A2;FXYD2;GLS2;ATP1B1;PCK1;SLC38A3;CA4;ATP1B2;CA2;ATP1A4;ATP1B4
Bile secretion Homo sapiens hsa04976,-0.22198664791327674,-0.9190461153729749,0.5785714285714286,1.0,71,71,ATP1B3;ABCG2;EPHX1;ABCB1;KCNN2;SLCO1B7;SCTR;SULT2A1;ABCB4;ADCY9;SLC2A1;ADCY2;ABCC4;SLC22A8;SLC51A;ABCB11;CYP7A1;AQP1;AQP8;ABCC3;SLC4A4;ATP1A3;SCARB1;SLC4A2;NCEH1;SLC10A2;ADCY8;AQP4;SLC9A3;SLC5A1;SLC51B;HMGCR;ATP1A1;GNAS;PRKACG;SLC22A1;SLC9A1;PRKACB;SLCO1B3;ADCY5;AQP9;PRKACA;ADCY1;UGT2B4;BAAT;ATP1A2;FXYD2;ADCY4;ADCY7;ABCG5;ATP1B1;RXRA;SLC10A1;SLCO1B1;LDLR;SLC27A5;ADCY3;ATP1B2;CA2;NR1H4;SLCO1A2;ABCG8;ATP1A4;ABCC2;CYP3A4;SLC22A7;ATP1B4;SLC4A5;NR0B2;CFTR;ADCY6,ATP1B1;RXRA;SLC10A1;SLCO1B1;LDLR;SLC27A5;ADCY3;ATP1B2;CA2;NR1H4;SLCO1A2;ABCG8;ATP1A4;ABCC2;CYP3A4;SLC22A7;ATP1B4;SLC4A5;NR0B2;CFTR;ADCY6
Phenylalanine metabolism Homo sapiens hsa00360,-0.32172039962972443,-0.8837637998087314,0.5785714285714286,1.0,17,17,ALDH3B2;ALDH3B1;AOC3;DDC;HPD;MAOA;MIF;GLYAT;GOT2;GOT1;MAOB;IL4I1;AOC2;PAH;ALDH3A1;TAT;ALDH1A3,MAOB;IL4I1;AOC2;PAH;ALDH3A1;TAT;ALDH1A3
RNA polymerase Homo sapiens hsa03020,-0.3121982890435881,-0.8799605036272197,0.5789473684210527,1.0,32,31,POLR1E;POLR3H;POLR3B;POLR2K;POLR3K;TWISTNB;POLR2G;POLR3GL;ZNRD1;POLR1B;POLR3F;POLR1C;POLR3D;POLR3A;POLR2L;POLR1A;POLR3C;POLR2J;POLR3G;POLR2B;POLR2I;POLR2A;POLR2J3;POLR1D;POLR2E;POLR2J2;POLR2D;POLR2H;POLR2F;POLR2C;POLR3E,POLR2F;POLR2C;POLR3E
NF-kappa B signaling pathway Homo sapiens hsa04064,-0.30045547419189433,-0.888001529705051,0.5808823529411765,1.0,93,91,LY96;IL1R1;TNFSF13B;LYN;DDX58;TRIM25;ERC1;PLCG2;TNFRSF11A;TNFSF14;CHUK;ICAM1;BTK;BCL2A1;CD14;CARD11;CSNK2A2;TLR4;TAB2;TNFRSF1A;SYK;CSNK2A1;LTBR;VCAM1;RIPK1;MYD88;RELA;BCL10;CXCL12;PRKCB;XIAP;CSNK2B;RELB;BLNK;TNFSF11;NFKB2;TRAF3;PLAU;TRAF6;UBE2I;CXCL2;TRADD;TNFAIP3;NFKBIA;CCL19;LCK;BCL2L1;TAB1;MAP3K7;IRAK1;BCL2;CD40;CSNK2A3;LTB;CXCL8;TNFRSF13C;TICAM1;GADD45B;ZAP70;PARP1;NFKB1;PTGS2;TRAF5;LTA;IRAK4;CCL21;LBP;CFLAR;MAP3K14;CD40LG;CCL4L1;MALT1;TICAM2;TNF;CCL4;TIRAP;CCL13;IKBKG;BIRC2;PRKCQ;TAB3;BIRC3;ATM;IL1B;PIAS4;TRAF2;IKBKB;TRAF1;PLCG1;LAT;PIDD1,GADD45B;ZAP70;PARP1;NFKB1;PTGS2;TRAF5;LTA;IRAK4;CCL21;LBP;CFLAR;MAP3K14;CD40LG;CCL4L1;MALT1;TICAM2;TNF;CCL4;TIRAP;CCL13;IKBKG;BIRC2;PRKCQ;TAB3;BIRC3;ATM;IL1B;PIAS4;TRAF2;IKBKB;TRAF1;PLCG1;LAT;PIDD1
Graft-versus-host disease Homo sapiens hsa05332,0.4451915298118026,0.8936359804949543,0.582089552238806,1.0,41,37,HLA-E;HLA-DRB5;HLA-DMB;HLA-B;KIR3DL2;HLA-C;HLA-DQB1;HLA-DPA1;CD86;HLA-DMA;HLA-G;HLA-DOB;HLA-DOA;HLA-DRA;HLA-DQA2;KIR2DL1;HLA-A;HLA-F;FAS;HLA-DRB1;IFNG;HLA-DPB1;FASLG;CD80;IL6;KLRD1;CD28;HLA-DQA1;PRF1;GZMB;KIR2DL3;IL1A;KLRC1;KIR3DL1;TNF;IL2;IL1B,HLA-E;HLA-DRB5;HLA-DMB;HLA-B;KIR3DL2;HLA-C;HLA-DQB1;HLA-DPA1;CD86;HLA-DMA;HLA-G;HLA-DOB;HLA-DOA;HLA-DRA;HLA-DQA2;KIR2DL1;HLA-A;HLA-F;FAS;HLA-DRB1;IFNG;HLA-DPB1;FASLG
Primary bile acid biosynthesis Homo sapiens hsa00120,-0.3319054850421256,-0.9131607957200625,0.583941605839416,1.0,17,17,AKR1C4;SCP2;CYP7A1;CYP8B1;CYP46A1;CYP39A1;HSD3B7;AKR1D1;BAAT;HSD17B4;CYP7B1;ACOT8;SLC27A5;CYP27A1;ACOX2;AMACR;CH25H,HSD3B7;AKR1D1;BAAT;HSD17B4;CYP7B1;ACOT8;SLC27A5;CYP27A1;ACOX2;AMACR;CH25H
Phagosome Homo sapiens hsa04145,0.2879673701062754,0.8859314011834333,0.5877862595419847,1.0,154,151,ATP6V0E2;RAB5A;ATP6V0E1;FCGR3A;HLA-E;SEC61A1;ATP6V1F;TAP2;SFTPA1;SEC61G;FCGR1A;RAB7A;HLA-DRB5;ACTG1;C3;TAP1;HLA-DMB;HLA-B;HLA-C;STX12;HLA-DQB1;HLA-DPA1;LAMP1;NOX3;CORO1A;C1R;HLA-DMA;MBL2;NCF4;HLA-G;HLA-DOB;TLR2;CANX;ITGAV;M6PR;CYBA;HLA-DOA;RAB5C;HLA-DRA;MSR1;HLA-DQA2;ATP6V0A4;CYBB;DYNC1LI1;OLR1;HLA-A;HLA-F;NCF1;CD14;ITGA5;ITGB1;HLA-DRB1;SFTPA2;FCGR3B;ATP6AP1;TLR4;TUBB6;HLA-DPB1;ITGB2;RAC1;ATP6V1D;TUBB;THBS1;ATP6V0B;CTSS;ATP6V1E1;ACTB;FCGR2A;TUBAL3;TLR6;CD209;TUBB2B;ITGB5;ATP6V1B2;ATP6V0D1;CLEC7A;CALR;SCARB1;TUBB1;SEC61B;DYNC1H1;HLA-DQA1;ATP6V1G1;FCGR2C;TFRC;MRC1;NOX1;MPO;TCIRG1;STX7;ATP6V1C1;DYNC1I2;DYNC1I1;ATP6V0A2;ATP6V1G2;ATP6V1H;NCF2;CTSL;MRC2;ITGB3;TUBA4A;THBS2;TUBA1A;SFTPD;ATP6V1A;NOS1;ATP6V0A1;RAB5B;ITGAM;VAMP3;EEA1;TUBB2A;LAMP2;ATP6V0D2;SEC22B;TUBB3;COLEC12;TUBA1C;TUBA8;TUBA3C;ATP6V0C;PLA2R1;TUBA1B;COLEC11;FCGR2B;THBS4;HGS;PIKFYVE;ATP6V1G3;DYNC1LI2;ITGA2;PIK3C3;FCAR;RILP;TUBB4A;MARCO;COMP;ATP6V1B1;TUBB8;RAB7B;TUBB4B;STX18;CD36;TUBA3E;CLEC4M;TUBA3D;SEC61A2;ATP6V1C2;ATP6V1E2;DYNC2H1;THBS3,ATP6V0E2;RAB5A;ATP6V0E1;FCGR3A;HLA-E;SEC61A1;ATP6V1F;TAP2;SFTPA1;SEC61G;FCGR1A;RAB7A;HLA-DRB5;ACTG1;C3;TAP1;HLA-DMB;HLA-B;HLA-C;STX12;HLA-DQB1;HLA-DPA1;LAMP1;NOX3;CORO1A;C1R;HLA-DMA;MBL2;NCF4;HLA-G;HLA-DOB;TLR2;CANX;ITGAV;M6PR;CYBA;HLA-DOA;RAB5C;HLA-DRA;MSR1;HLA-DQA2;ATP6V0A4;CYBB;DYNC1LI1;OLR1;HLA-A;HLA-F;NCF1;CD14;ITGA5;ITGB1;HLA-DRB1;SFTPA2
TNF signaling pathway Homo sapiens hsa04668,-0.2571153335033348,-0.8658947426482065,0.5882352941176471,1.0,110,110,CREB3;LIF;TNFRSF1B;PIK3R1;CXCL5;MAPK3;IL18R1;IL15;PIK3CA;CHUK;MAPK1;FAS;ICAM1;MMP3;CREB3L2;CCL20;RIPK3;TAB2;FADD;TNFRSF1A;CX3CL1;CASP10;CREB3L1;MAP3K8;SOCS3;VCAM1;PIK3R5;ATF4;MMP14;RIPK1;IL6;RELA;CREB5;BAG4;MAP3K5;MLKL;BCL3;MAP2K3;MAPK14;MAP2K1;PIK3CD;PIK3R2;CASP7;EDN1;SELE;AKT3;AKT1;PGAM5;TRAF3;CREB1;RPS6KA4;CSF1;PIK3CG;PIK3R3;CXCL2;TRADD;TNFAIP3;CXCL10;CREB3L3;MAPK9;CASP8;ATF2;CXCL3;NFKBIA;DAB2IP;MAP2K4;JAG1;TAB1;PIK3CB;CEBPB;MAPK8;MAP3K7;CXCL1;MAPK13;ATF6B;MAPK10;CASP3;CCL5;NOD2;JUNB;NFKB1;MMP9;DNM1L;MAPK11;PTGS2;TRAF5;LTA;MAP2K6;CFLAR;MAP3K14;CREB3L4;RPS6KA5;CCL2;TNF;CSF2;IKBKG;JUN;VEGFC;BIRC2;ITCH;TAB3;BIRC3;AKT2;MAPK12;IL1B;FOS;TRAF2;IKBKB;MAP2K7;TRAF1,NFKB1;MMP9;DNM1L;MAPK11;PTGS2;TRAF5;LTA;MAP2K6;CFLAR;MAP3K14;CREB3L4;RPS6KA5;CCL2;TNF;CSF2;IKBKG;JUN;VEGFC;BIRC2;ITCH;TAB3;BIRC3;AKT2;MAPK12;IL1B;FOS;TRAF2;IKBKB;MAP2K7;TRAF1
Glycosylphosphatidylinositol(GPI)-anchor biosynthesis Homo sapiens hsa00563,-0.30498368604453086,-0.8997014443057817,0.5925925925925926,1.0,25,24,GPAA1;PIGS;PIGK;PIGH;PIGT;PIGM;PIGX;PIGP;PGAP1;PIGB;PIGN;PIGW;PIGF;GPLD1;PIGO;PIGU;PIGA;PIGZ;PIGV;PIGQ;DPM2;PIGC;PIGG;PIGL,PIGG;PIGL
Mineral absorption Homo sapiens hsa04978,-0.2580405902201073,-0.888676048258211,0.5958904109589042,1.0,51,51,ATP1B3;SLC40A1;ATOX1;SLC11A2;MT1X;SLC11A1;MT2A;S100G;FTL;HMOX2;SLC30A1;FTH1;HMOX1;STEAP1;ATP1A3;SLC6A19;SLC8A1;ATP7A;STEAP2;MT1B;SLC9A3;SLC5A1;ATP1A1;ATP2B1;VDR;SLC46A1;SLC39A4;CYBRD1;HEPH;SLC31A1;ATP1A2;FXYD2;MT1G;MT1H;SLC26A3;SLC34A2;TRPV6;ATP1B1;TF;TRPM6;MT1E;MT1F;TRPM7;ATP1B2;MT1A;ATP1A4;SLC26A6;MT1M;CLCN2;ATP1B4;SLC26A9,CYBRD1;HEPH;SLC31A1;ATP1A2;FXYD2;MT1G;MT1H;SLC26A3;SLC34A2;TRPV6;ATP1B1;TF;TRPM6;MT1E;MT1F;TRPM7;ATP1B2;MT1A;ATP1A4;SLC26A6;MT1M;CLCN2;ATP1B4;SLC26A9
Taste transduction Homo sapiens hsa04742,-0.25480911259664635,-0.8965208083168921,0.6,1.0,83,79,TAS1R2;P2RX2;GRM4;HCN4;TAS1R3;SCN3A;SCN9A;HTR1D;TAS2R1;P2RX3;GABBR1;PDE1B;GNAT3;TAS2R41;GRM1;SCNN1A;TAS2R31;PLCB2;GABRA3;HTR3A;TAS1R1;TAS2R50;HTR1A;TAS2R43;GABRA5;HTR1B;PKD1L3;CHRM3;ADCY8;ENTPD2;ASIC2;TAS2R13;TAS2R40;GABBR2;HTR1F;PDE1A;GABRA4;CALHM1;PRKACG;HTR1E;GABRA2;SCN2A;HTR3B;PRKACB;HTR3D;CACNA1C;TAS2R14;ITPR3;GABRA1;TAS2R19;PRKACA;TAS2R60;TAS2R46;ADCY4;PKD2L1;TAS2R3;GNB3;CACNA1A;GABRA6;PDE1C;SCNN1B;TAS2R4;TRPM5;TAS2R8;TAS2R42;TAS2R9;TAS2R7;P2RY1;GNG13;HTR3C;SCNN1G;HTR3E;TAS2R30;TAS2R20;P2RY4;KCNK5;TAS2R5;ADCY6;TAS2R10,TAS2R46;ADCY4;PKD2L1;TAS2R3;GNB3;CACNA1A;GABRA6;PDE1C;SCNN1B;TAS2R4;TRPM5;TAS2R8;TAS2R42;TAS2R9;TAS2R7;P2RY1;GNG13;HTR3C;SCNN1G;HTR3E;TAS2R30;TAS2R20;P2RY4;KCNK5;TAS2R5;ADCY6;TAS2R10
Pyruvate metabolism Homo sapiens hsa00620,0.263487413768247,0.8966519909530353,0.6026490066225165,1.0,40,39,LDHB;ACAT1;ALDH9A1;ALDH1B1;ME2;PC;PKM;PDHB;LDHAL6B;ALDH2;GLO1;PCK2;GRHPR;DLAT;PDHA1;HAGH;MDH1;MDH2;ALDH3A2;ACACA;LDHA;DLD;FH;LDHC;ACYP2;ME3;LDHAL6A;ACAT2;LDHD;ACOT12;PCK1;HAGHL;ACSS1;ME1;ALDH7A1;ACYP1;ACSS2;ACACB;PKLR,LDHB;ACAT1;ALDH9A1;ALDH1B1;ME2;PC;PKM;PDHB;LDHAL6B;ALDH2
Acute myeloid leukemia Homo sapiens hsa05221,0.24570427213782947,0.8967675980104611,0.6030534351145038,1.0,57,57,CEBPA;RARA;EIF4EBP1;FLT3;ZBTB16;PIK3R1;KRAS;LEF1;CCND1;MAPK3;SPI1;TCF7L2;MYC;PML;PIK3CA;CHUK;MAPK1;GRB2;PIK3R5;RAF1;RELA;BAD;SOS2;KIT;RUNX1;MAP2K1;PIK3CD;PIK3R2;NRAS;PIM1;AKT3;AKT1;STAT5A;PIK3CG;PIK3R3;HRAS;MAP2K2;RUNX1T1;STAT3;SOS1;PIK3CB;JUP;RPS6KB1;PPARD;ARAF;CCNA1;TCF7L1;NFKB1;BRAF;STAT5B;TCF7;RPS6KB2;PIM2;MTOR;IKBKG;AKT2;IKBKB,CEBPA;RARA;EIF4EBP1;FLT3;ZBTB16;PIK3R1;KRAS;LEF1;CCND1;MAPK3;SPI1;TCF7L2;MYC;PML;PIK3CA;CHUK;MAPK1
Glyoxylate and dicarboxylate metabolism Homo sapiens hsa00630,0.2742945548307784,0.8668521989244793,0.6041666666666666,1.0,28,28,PCCA;ACAT1;SHMT2;ACO1;GLDC;HAO2;AGXT;ACO2;CS;MUT;GRHPR;GCSH;MDH1;MDH2;PCCB;DLD;HOGA1;GLUL;GLYCTK;CAT;ACAT2;AMT;PGP;MCEE;SHMT1;HAO1;AFMID;HYI,PCCA;ACAT1;SHMT2;ACO1;GLDC;HAO2;AGXT;ACO2;CS
